time,scramble
24.07,F' R' B' F2 U2 L B2 U2 F2 D2 L D2 R2 U' R' D' F' L U B2 Fw Uw 
12.27,D B' D2 F' U2 F U2 B L2 U2 L2 R' B' U F D' R F2 R Rw2 Uw2 
13.75,F' R' B' L D2 R2 B2 R' F2 L' D2 L F2 R' U' B' U2 F' D U2 F Fw Uw' 
16.98,U' R' B2 L' F2 D2 R' B2 U2 B2 R2 F' D2 B D' B2 U' L D' L2 Uw' 
18.47,D' L D2 F2 L2 R' D2 R' D2 R' D2 B2 D' F' D2 B' U B2 L' D2 F Fw' Uw2 
20.17,U2 B2 U2 L U2 R' D2 R U2 B2 L' F2 B L' F D' U R2 F R B2 Rw 
14.31,B' U' R2 F2 U B2 F2 D B2 U' B2 L2 U2 L B R F R B Rw' 
13.85,B' U L F2 R2 D F2 D' B2 L2 F2 U R2 D2 B U' L R2 D B R2 Uw 
24.68,U2 R' U' D' B U L F2 U2 R2 F2 U2 F' U2 F' U2 D2 B L' U2 Fw Uw2 
DNF(18.50),B2 D B2 U2 R2 U' B2 F2 L2 U R D' R2 F R' D2 B' R' B' U Uw' 
DNF(15.30),R2 U2 B L2 U2 B' F2 R2 U2 B' F' L B2 F D L' U' B L2 F2 U2 Rw' Uw 
15.29,D' B2 F2 D2 L2 U F2 U' F2 U R2 L' B F2 U B' R' B D F2 Fw Uw' 
14.84,B R2 B' L2 R2 B2 U2 F2 U2 D L B D F' L F D R Rw Uw2 
16.01,L' F' U2 R2 U' F L U R2 B2 U2 R' B2 R' U2 B2 D2 B2 D2 R' Rw Uw' 
17.30,F' R2 U2 B' D2 B' D2 L2 B U2 F R2 U' B' R' U' L2 D L' B2 F2 Rw Uw' 
14.64,D U2 R2 B2 U' B2 L2 B2 F2 U' R2 U2 R' F' L' B' D R F D2 L Fw' Uw2 
17.00,R B' L2 D2 U' L2 U' R2 U' F2 L2 D2 R2 U R' B L2 U L D' R2 Rw2 
16.82,B U R' U2 D2 R F' D L U2 R2 F D2 F2 R2 B R2 U2 F' D2 F2 Rw2 Uw2 
15.17,R' U F' L F2 U' R2 U' R U2 F2 L2 U2 R U2 B2 R' F2 U2 D2 F' Fw Uw2 
DNF(0.08),B2 L' D2 U2 R' F2 L B2 L' U2 L' U2 F' D B R2 D2 L' B' F2 D' Rw2 Uw2 
DNF(0.08),U2 R F R2 L U R F B' L2 U F2 R2 U' R2 U2 B2 U F2 B2 R2 Rw Uw' 
19.24,D L' F2 U' L2 B2 D L2 U' B2 D2 L2 B2 D2 L' U B2 F' R' D2 B' Rw2 Uw' 
16.49,U F2 U R2 D' L2 B2 L2 F2 U' R2 F' L2 F R U' L' B F D Rw2 Uw 
DNF(0.08),L D R D' L2 B U' R' D' R2 L2 F2 D2 F' L2 F2 D2 F R2 B2 R2 Rw2 Uw 
17.86,D B2 L2 D B2 F2 R2 D L2 R2 F2 B L' R B R' F2 D2 R2 F2 U' Rw' 
DNF(21.98),L' B2 R2 D B2 D L2 D' R2 U' L2 D2 L' F2 D2 L' B' R' F D2 Fw' Uw2 
DNF(0.07),B' D2 U2 F' R2 D2 U2 B' R2 B2 R2 U L' U R B U2 R' D' B2 Rw2 Uw2 
17.77,L B R' B2 D' F' D U2 L2 D2 R' F2 D2 R' U2 L2 U2 B2 L2 Fw Uw2 
DNF(17.56),U2 R' D2 L' U2 D' F' D2 L F2 L2 F L2 D2 R2 F' R2 F2 U2 B' U2 Rw Uw' 
DNF(0.08),F2 R2 U2 B2 F2 D' B2 U F2 U' L F' L' U' R B U2 L2 F2 L2 
18.48,B2 D R U2 F2 U2 L2 D2 L' U2 R2 B2 R2 F L U L' B2 L U2 Rw2 
17.93,L' U F U L2 D' R2 F U' R D2 F2 R' B2 L D2 F2 R B2 R F2 Fw 
17.04,D2 L2 R2 B U2 B' L2 B' U2 F2 R' D' F' U' B R' U' L2 B2 Rw Uw2 
15.63,R2 L' U' D B R' U2 D' R' F2 L2 F' L2 U2 F2 U2 B' R2 F2 Rw' Uw 
